,camp,date,hour,city,coord,prop,unit,value
1741,air quality sensor measurement,2024/06/01,15,marseille,"[5.37, 43.3]",NO2,µg/m3,5.95
1742,air quality sensor measurement,2024/06/01,15,strasbourg,"[7.75, 48.57]",O3,µg/m3,8.16
1743,air quality sensor measurement,2024/06/02,21,toulouse,"[1.44, 43.6]",O3,µg/m3,1.52
1744,air quality sensor measurement,2024/05/30,22,brest,"[4.49, 48.39]",NO2,µg/m3,8.23
1745,air quality sensor measurement,2024/05/26,2,lille,"[3.06, 50.63]",CO,mg/m3,9.35
1746,air quality sensor measurement,2024/05/30,11,marseille,"[5.37, 43.3]",NO2,µg/m3,9.85
1747,air quality sensor measurement,2024/05/24,3,strasbourg,"[7.75, 48.57]",PM10,µg/m3,9.84
1748,air quality sensor measurement,2024/05/31,3,toulouse,"[1.44, 43.6]",PM10,µg/m3,8.04
1749,air quality sensor measurement,2024/05/26,22,lille,"[3.06, 50.63]",PM10,µg/m3,4.1
1750,air quality sensor measurement,2024/05/27,22,toulouse,"[1.44, 43.6]",CO,mg/m3,5.55
1751,air quality sensor measurement,2024/05/26,12,lille,"[3.06, 50.63]",O3,µg/m3,1.62
1752,air quality sensor measurement,2024/05/31,19,toulouse,"[1.44, 43.6]",NO2,µg/m3,5.43
1753,air quality sensor measurement,2024/05/30,9,brest,"[4.49, 48.39]",CO,mg/m3,5.87
1754,air quality sensor measurement,2024/05/25,0,strasbourg,"[7.75, 48.57]",O3,µg/m3,8.57
1755,air quality sensor measurement,2024/05/28,8,lille,"[3.06, 50.63]",O3,µg/m3,7.67
1756,air quality sensor measurement,2024/05/31,20,lille,"[3.06, 50.63]",NO2,µg/m3,1.08
1757,air quality sensor measurement,2024/05/30,19,toulouse,"[1.44, 43.6]",CO,mg/m3,4.93
1758,air quality sensor measurement,2024/05/25,6,lille,"[3.06, 50.63]",NO2,µg/m3,9.64
1759,air quality sensor measurement,2024/05/26,15,strasbourg,"[7.75, 48.57]",PM10,µg/m3,3.4
1760,air quality sensor measurement,2024/05/30,4,marseille,"[5.37, 43.3]",PM10,µg/m3,4.66
1761,air quality sensor measurement,2024/05/31,6,brest,"[4.49, 48.39]",PM10,µg/m3,9.51
1762,air quality sensor measurement,2024/05/29,19,toulouse,"[1.44, 43.6]",O3,µg/m3,6.51
1763,air quality sensor measurement,2024/06/01,10,lille,"[3.06, 50.63]",PM2.5,µg/m3,4.72
1764,air quality sensor measurement,2024/05/26,1,marseille,"[5.37, 43.3]",NO2,µg/m3,2.55
1765,air quality sensor measurement,2024/05/24,23,marseille,"[5.37, 43.3]",O3,µg/m3,6.37
1766,air quality sensor measurement,2024/05/25,9,strasbourg,"[7.75, 48.57]",O3,µg/m3,1.14
1767,air quality sensor measurement,2024/05/26,1,brest,"[4.49, 48.39]",PM2.5,µg/m3,8.02
1768,air quality sensor measurement,2024/05/31,21,strasbourg,"[7.75, 48.57]",PM10,µg/m3,0.34
1769,air quality sensor measurement,2024/06/01,21,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,0.28
1770,air quality sensor measurement,2024/06/02,17,lille,"[3.06, 50.63]",PM10,µg/m3,7.07
1771,air quality sensor measurement,2024/05/26,17,brest,"[4.49, 48.39]",NO2,µg/m3,8.02
1772,air quality sensor measurement,2024/06/01,22,marseille,"[5.37, 43.3]",PM2.5,µg/m3,0.24
1773,air quality sensor measurement,2024/05/24,12,marseille,"[5.37, 43.3]",PM2.5,µg/m3,7.56
1774,air quality sensor measurement,2024/05/31,12,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,7.15
1775,air quality sensor measurement,2024/06/02,13,toulouse,"[1.44, 43.6]",PM10,µg/m3,5.23
1776,air quality sensor measurement,2024/05/27,7,toulouse,"[1.44, 43.6]",NO2,µg/m3,7.99
1777,air quality sensor measurement,2024/05/31,4,lille,"[3.06, 50.63]",O3,µg/m3,4.4
1778,air quality sensor measurement,2024/06/01,4,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,9.24
1779,air quality sensor measurement,2024/05/26,21,strasbourg,"[7.75, 48.57]",PM10,µg/m3,7.53
1780,air quality sensor measurement,2024/05/29,17,marseille,"[5.37, 43.3]",CO,mg/m3,5.07
1781,air quality sensor measurement,2024/05/31,9,marseille,"[5.37, 43.3]",NO2,µg/m3,1.07
1782,air quality sensor measurement,2024/06/01,19,strasbourg,"[7.75, 48.57]",NO2,µg/m3,1.19
1783,air quality sensor measurement,2024/05/27,0,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,7.85
1784,air quality sensor measurement,2024/05/26,17,strasbourg,"[7.75, 48.57]",CO,mg/m3,9.1
1785,air quality sensor measurement,2024/05/30,8,marseille,"[5.37, 43.3]",PM2.5,µg/m3,9.11
1786,air quality sensor measurement,2024/06/02,18,brest,"[4.49, 48.39]",PM2.5,µg/m3,9.03
1787,air quality sensor measurement,2024/05/26,19,brest,"[4.49, 48.39]",CO,mg/m3,5.26
1788,air quality sensor measurement,2024/05/26,10,toulouse,"[1.44, 43.6]",CO,mg/m3,6.94
1789,air quality sensor measurement,2024/05/28,8,brest,"[4.49, 48.39]",NO2,µg/m3,8.9
1790,air quality sensor measurement,2024/05/31,16,brest,"[4.49, 48.39]",PM10,µg/m3,5.54
1791,air quality sensor measurement,2024/05/31,9,lille,"[3.06, 50.63]",CO,mg/m3,6.13
1792,air quality sensor measurement,2024/05/29,16,marseille,"[5.37, 43.3]",PM2.5,µg/m3,4.1
1793,air quality sensor measurement,2024/05/28,2,strasbourg,"[7.75, 48.57]",CO,mg/m3,3.48
1794,air quality sensor measurement,2024/05/31,13,marseille,"[5.37, 43.3]",O3,µg/m3,8.09
1795,air quality sensor measurement,2024/05/29,7,lille,"[3.06, 50.63]",PM10,µg/m3,0.53
1796,air quality sensor measurement,2024/05/30,2,strasbourg,"[7.75, 48.57]",CO,mg/m3,4.17
1797,air quality sensor measurement,2024/06/01,16,brest,"[4.49, 48.39]",PM2.5,µg/m3,9.61
1798,air quality sensor measurement,2024/05/27,12,lille,"[3.06, 50.63]",PM10,µg/m3,2.31
1799,air quality sensor measurement,2024/05/27,5,toulouse,"[1.44, 43.6]",CO,mg/m3,1.38
1800,air quality sensor measurement,2024/05/25,12,marseille,"[5.37, 43.3]",NO2,µg/m3,0.15
1801,air quality sensor measurement,2024/05/30,4,toulouse,"[1.44, 43.6]",NO2,µg/m3,9.4
1802,air quality sensor measurement,2024/05/29,2,lille,"[3.06, 50.63]",CO,mg/m3,3.23
1803,air quality sensor measurement,2024/06/02,12,toulouse,"[1.44, 43.6]",NO2,µg/m3,5.3
1804,air quality sensor measurement,2024/05/26,20,brest,"[4.49, 48.39]",NO2,µg/m3,6.55
1805,air quality sensor measurement,2024/05/25,21,brest,"[4.49, 48.39]",NO2,µg/m3,7.5
1806,air quality sensor measurement,2024/05/27,19,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,1.42
1807,air quality sensor measurement,2024/05/29,3,toulouse,"[1.44, 43.6]",NO2,µg/m3,1.45
1808,air quality sensor measurement,2024/05/31,10,strasbourg,"[7.75, 48.57]",NO2,µg/m3,1.46
1809,air quality sensor measurement,2024/06/02,11,toulouse,"[1.44, 43.6]",NO2,µg/m3,5.09
1810,air quality sensor measurement,2024/05/31,0,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,5.95
1811,air quality sensor measurement,2024/05/24,17,strasbourg,"[7.75, 48.57]",PM10,µg/m3,2.52
1812,air quality sensor measurement,2024/05/29,9,lille,"[3.06, 50.63]",PM2.5,µg/m3,5.97
1813,air quality sensor measurement,2024/05/31,8,marseille,"[5.37, 43.3]",O3,µg/m3,6.02
1814,air quality sensor measurement,2024/05/31,2,strasbourg,"[7.75, 48.57]",PM10,µg/m3,4.47
1815,air quality sensor measurement,2024/05/28,14,lille,"[3.06, 50.63]",CO,mg/m3,0.51
1816,air quality sensor measurement,2024/06/01,23,lille,"[3.06, 50.63]",O3,µg/m3,8.05
1817,air quality sensor measurement,2024/05/31,16,toulouse,"[1.44, 43.6]",PM10,µg/m3,2.86
1818,air quality sensor measurement,2024/05/29,11,toulouse,"[1.44, 43.6]",NO2,µg/m3,9.84
1819,air quality sensor measurement,2024/05/30,9,toulouse,"[1.44, 43.6]",NO2,µg/m3,2.82
1820,air quality sensor measurement,2024/05/24,11,toulouse,"[1.44, 43.6]",NO2,µg/m3,8.8
1821,air quality sensor measurement,2024/05/31,4,marseille,"[5.37, 43.3]",NO2,µg/m3,9.78
1822,air quality sensor measurement,2024/06/01,22,toulouse,"[1.44, 43.6]",PM10,µg/m3,7.71
1823,air quality sensor measurement,2024/06/01,11,marseille,"[5.37, 43.3]",CO,mg/m3,4.19
1824,air quality sensor measurement,2024/05/28,13,marseille,"[5.37, 43.3]",PM2.5,µg/m3,7.06
1825,air quality sensor measurement,2024/06/01,23,marseille,"[5.37, 43.3]",CO,mg/m3,8.99
1826,air quality sensor measurement,2024/06/02,6,toulouse,"[1.44, 43.6]",PM10,µg/m3,1.89
1827,air quality sensor measurement,2024/05/24,4,brest,"[4.49, 48.39]",PM2.5,µg/m3,8.18
1828,air quality sensor measurement,2024/06/02,23,marseille,"[5.37, 43.3]",O3,µg/m3,7.47
1829,air quality sensor measurement,2024/05/24,17,lille,"[3.06, 50.63]",O3,µg/m3,1.51
1830,air quality sensor measurement,2024/05/29,9,toulouse,"[1.44, 43.6]",O3,µg/m3,7.81
1831,air quality sensor measurement,2024/05/30,4,strasbourg,"[7.75, 48.57]",NO2,µg/m3,2.66
1832,air quality sensor measurement,2024/05/28,10,lille,"[3.06, 50.63]",PM10,µg/m3,7.59
1833,air quality sensor measurement,2024/06/02,21,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,0.26
1834,air quality sensor measurement,2024/05/28,14,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,3.42
1835,air quality sensor measurement,2024/05/28,18,toulouse,"[1.44, 43.6]",PM10,µg/m3,4.93
1836,air quality sensor measurement,2024/05/30,12,lille,"[3.06, 50.63]",O3,µg/m3,1.85
1837,air quality sensor measurement,2024/05/31,0,marseille,"[5.37, 43.3]",NO2,µg/m3,3.37
1838,air quality sensor measurement,2024/05/28,19,lille,"[3.06, 50.63]",CO,mg/m3,7.72
1839,air quality sensor measurement,2024/06/02,22,lille,"[3.06, 50.63]",PM10,µg/m3,3.95
1840,air quality sensor measurement,2024/05/28,11,brest,"[4.49, 48.39]",NO2,µg/m3,5.93
1841,air quality sensor measurement,2024/06/02,20,strasbourg,"[7.75, 48.57]",PM10,µg/m3,6.65
1842,air quality sensor measurement,2024/06/02,18,lille,"[3.06, 50.63]",NO2,µg/m3,5.76
1843,air quality sensor measurement,2024/06/02,20,toulouse,"[1.44, 43.6]",NO2,µg/m3,3.2
1844,air quality sensor measurement,2024/05/30,8,brest,"[4.49, 48.39]",PM2.5,µg/m3,3.71
1845,air quality sensor measurement,2024/05/30,21,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,9.53
1846,air quality sensor measurement,2024/05/25,21,marseille,"[5.37, 43.3]",O3,µg/m3,1.91
1847,air quality sensor measurement,2024/06/02,19,brest,"[4.49, 48.39]",PM10,µg/m3,9.54
1848,air quality sensor measurement,2024/05/30,5,lille,"[3.06, 50.63]",O3,µg/m3,1.03
1849,air quality sensor measurement,2024/05/30,6,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,6.86
1850,air quality sensor measurement,2024/06/01,6,lille,"[3.06, 50.63]",PM2.5,µg/m3,6.75
1851,air quality sensor measurement,2024/05/24,20,lille,"[3.06, 50.63]",CO,mg/m3,4.23
1852,air quality sensor measurement,2024/05/28,6,lille,"[3.06, 50.63]",PM2.5,µg/m3,5.45
1853,air quality sensor measurement,2024/05/28,21,marseille,"[5.37, 43.3]",O3,µg/m3,0.03
1854,air quality sensor measurement,2024/05/30,1,strasbourg,"[7.75, 48.57]",NO2,µg/m3,1.19
1855,air quality sensor measurement,2024/05/26,3,strasbourg,"[7.75, 48.57]",PM10,µg/m3,5.09
1856,air quality sensor measurement,2024/05/24,19,marseille,"[5.37, 43.3]",CO,mg/m3,9.38
1857,air quality sensor measurement,2024/05/29,8,toulouse,"[1.44, 43.6]",PM10,µg/m3,7.96
1858,air quality sensor measurement,2024/05/26,18,marseille,"[5.37, 43.3]",PM2.5,µg/m3,3.22
1859,air quality sensor measurement,2024/05/28,14,strasbourg,"[7.75, 48.57]",PM10,µg/m3,3.95
1860,air quality sensor measurement,2024/05/26,4,marseille,"[5.37, 43.3]",NO2,µg/m3,9.0
1861,air quality sensor measurement,2024/05/28,7,toulouse,"[1.44, 43.6]",O3,µg/m3,9.58
1862,air quality sensor measurement,2024/05/31,5,marseille,"[5.37, 43.3]",O3,µg/m3,1.17
1863,air quality sensor measurement,2024/06/02,9,toulouse,"[1.44, 43.6]",NO2,µg/m3,2.92
1864,air quality sensor measurement,2024/05/25,2,lille,"[3.06, 50.63]",O3,µg/m3,5.09
1865,air quality sensor measurement,2024/06/02,22,brest,"[4.49, 48.39]",NO2,µg/m3,9.85
1866,air quality sensor measurement,2024/06/02,10,brest,"[4.49, 48.39]",NO2,µg/m3,8.42
1867,air quality sensor measurement,2024/05/26,15,toulouse,"[1.44, 43.6]",PM10,µg/m3,4.91
1868,air quality sensor measurement,2024/06/01,15,toulouse,"[1.44, 43.6]",NO2,µg/m3,7.04
1869,air quality sensor measurement,2024/06/01,5,strasbourg,"[7.75, 48.57]",PM10,µg/m3,9.04
1870,air quality sensor measurement,2024/05/28,10,toulouse,"[1.44, 43.6]",CO,mg/m3,7.17
1871,air quality sensor measurement,2024/05/24,16,lille,"[3.06, 50.63]",PM10,µg/m3,5.26
1872,air quality sensor measurement,2024/05/26,18,lille,"[3.06, 50.63]",PM10,µg/m3,9.03
1873,air quality sensor measurement,2024/05/29,0,toulouse,"[1.44, 43.6]",CO,mg/m3,6.78
1874,air quality sensor measurement,2024/06/01,15,brest,"[4.49, 48.39]",PM2.5,µg/m3,0.34
1875,air quality sensor measurement,2024/05/24,20,marseille,"[5.37, 43.3]",NO2,µg/m3,5.5
1876,air quality sensor measurement,2024/05/25,12,marseille,"[5.37, 43.3]",PM10,µg/m3,5.21
1877,air quality sensor measurement,2024/05/26,0,brest,"[4.49, 48.39]",PM10,µg/m3,1.71
1878,air quality sensor measurement,2024/05/28,1,strasbourg,"[7.75, 48.57]",NO2,µg/m3,0.87
1879,air quality sensor measurement,2024/05/25,4,strasbourg,"[7.75, 48.57]",NO2,µg/m3,8.12
1880,air quality sensor measurement,2024/05/25,5,brest,"[4.49, 48.39]",CO,mg/m3,7.38
1881,air quality sensor measurement,2024/05/25,7,marseille,"[5.37, 43.3]",CO,mg/m3,6.12
1882,air quality sensor measurement,2024/05/28,17,lille,"[3.06, 50.63]",PM10,µg/m3,8.04
1883,air quality sensor measurement,2024/05/29,18,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,2.71
1884,air quality sensor measurement,2024/05/26,18,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,2.49
1885,air quality sensor measurement,2024/05/24,18,lille,"[3.06, 50.63]",O3,µg/m3,4.69
1886,air quality sensor measurement,2024/05/29,10,marseille,"[5.37, 43.3]",PM2.5,µg/m3,3.27
1887,air quality sensor measurement,2024/05/24,13,strasbourg,"[7.75, 48.57]",PM10,µg/m3,6.88
1888,air quality sensor measurement,2024/05/27,10,toulouse,"[1.44, 43.6]",O3,µg/m3,3.5
1889,air quality sensor measurement,2024/05/25,14,toulouse,"[1.44, 43.6]",O3,µg/m3,3.73
1890,air quality sensor measurement,2024/05/29,19,lille,"[3.06, 50.63]",PM2.5,µg/m3,0.25
1891,air quality sensor measurement,2024/05/26,5,marseille,"[5.37, 43.3]",O3,µg/m3,2.29
1892,air quality sensor measurement,2024/05/24,19,strasbourg,"[7.75, 48.57]",O3,µg/m3,0.59
1893,air quality sensor measurement,2024/05/28,9,brest,"[4.49, 48.39]",O3,µg/m3,0.41
1894,air quality sensor measurement,2024/05/25,2,marseille,"[5.37, 43.3]",O3,µg/m3,4.39
1895,air quality sensor measurement,2024/05/27,17,lille,"[3.06, 50.63]",PM2.5,µg/m3,8.91
1896,air quality sensor measurement,2024/05/25,19,lille,"[3.06, 50.63]",PM10,µg/m3,9.36
1897,air quality sensor measurement,2024/05/25,20,brest,"[4.49, 48.39]",O3,µg/m3,9.92
1898,air quality sensor measurement,2024/06/01,22,toulouse,"[1.44, 43.6]",O3,µg/m3,8.33
1899,air quality sensor measurement,2024/05/31,0,toulouse,"[1.44, 43.6]",O3,µg/m3,5.22
1900,air quality sensor measurement,2024/05/31,21,lille,"[3.06, 50.63]",PM10,µg/m3,7.25
1901,air quality sensor measurement,2024/05/29,23,brest,"[4.49, 48.39]",PM10,µg/m3,0.19
1902,air quality sensor measurement,2024/05/26,22,lille,"[3.06, 50.63]",PM2.5,µg/m3,1.35
1903,air quality sensor measurement,2024/06/01,20,brest,"[4.49, 48.39]",PM2.5,µg/m3,6.69
1904,air quality sensor measurement,2024/06/01,15,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,7.07
1905,air quality sensor measurement,2024/05/31,3,lille,"[3.06, 50.63]",NO2,µg/m3,8.58
1906,air quality sensor measurement,2024/05/29,22,strasbourg,"[7.75, 48.57]",NO2,µg/m3,3.71
1907,air quality sensor measurement,2024/05/26,1,marseille,"[5.37, 43.3]",PM2.5,µg/m3,1.61
1908,air quality sensor measurement,2024/05/31,14,brest,"[4.49, 48.39]",CO,mg/m3,8.79
1909,air quality sensor measurement,2024/05/24,20,marseille,"[5.37, 43.3]",PM2.5,µg/m3,4.31
1910,air quality sensor measurement,2024/05/30,10,toulouse,"[1.44, 43.6]",NO2,µg/m3,3.78
1911,air quality sensor measurement,2024/05/25,5,toulouse,"[1.44, 43.6]",CO,mg/m3,9.17
1912,air quality sensor measurement,2024/05/24,14,brest,"[4.49, 48.39]",NO2,µg/m3,7.96
1913,air quality sensor measurement,2024/05/28,13,strasbourg,"[7.75, 48.57]",PM10,µg/m3,9.31
1914,air quality sensor measurement,2024/05/24,23,strasbourg,"[7.75, 48.57]",PM10,µg/m3,0.95
1915,air quality sensor measurement,2024/05/24,12,toulouse,"[1.44, 43.6]",O3,µg/m3,1.4
1916,air quality sensor measurement,2024/05/31,3,toulouse,"[1.44, 43.6]",NO2,µg/m3,5.24
1917,air quality sensor measurement,2024/05/28,1,marseille,"[5.37, 43.3]",PM2.5,µg/m3,9.09
1918,air quality sensor measurement,2024/05/25,20,marseille,"[5.37, 43.3]",PM10,µg/m3,4.01
1919,air quality sensor measurement,2024/06/02,12,toulouse,"[1.44, 43.6]",O3,µg/m3,7.16
1920,air quality sensor measurement,2024/05/27,6,lille,"[3.06, 50.63]",NO2,µg/m3,8.94
1921,air quality sensor measurement,2024/05/24,17,brest,"[4.49, 48.39]",NO2,µg/m3,6.68
1922,air quality sensor measurement,2024/05/26,20,marseille,"[5.37, 43.3]",CO,mg/m3,4.87
1923,air quality sensor measurement,2024/05/27,5,strasbourg,"[7.75, 48.57]",PM10,µg/m3,0.4
1924,air quality sensor measurement,2024/06/02,5,brest,"[4.49, 48.39]",PM10,µg/m3,8.52
1925,air quality sensor measurement,2024/05/24,17,strasbourg,"[7.75, 48.57]",CO,mg/m3,2.34
1926,air quality sensor measurement,2024/05/30,7,lille,"[3.06, 50.63]",NO2,µg/m3,4.65
1927,air quality sensor measurement,2024/05/30,13,brest,"[4.49, 48.39]",CO,mg/m3,7.96
1928,air quality sensor measurement,2024/05/25,15,brest,"[4.49, 48.39]",CO,mg/m3,8.45
1929,air quality sensor measurement,2024/05/29,6,toulouse,"[1.44, 43.6]",O3,µg/m3,0.38
1930,air quality sensor measurement,2024/05/24,13,brest,"[4.49, 48.39]",CO,mg/m3,1.69
1931,air quality sensor measurement,2024/05/26,10,marseille,"[5.37, 43.3]",NO2,µg/m3,4.58
1932,air quality sensor measurement,2024/05/28,13,marseille,"[5.37, 43.3]",PM10,µg/m3,6.01
1933,air quality sensor measurement,2024/05/27,13,marseille,"[5.37, 43.3]",PM10,µg/m3,3.58
1934,air quality sensor measurement,2024/05/24,15,strasbourg,"[7.75, 48.57]",PM10,µg/m3,8.25
1935,air quality sensor measurement,2024/05/28,5,toulouse,"[1.44, 43.6]",O3,µg/m3,7.82
1936,air quality sensor measurement,2024/05/29,13,marseille,"[5.37, 43.3]",NO2,µg/m3,9.73
1937,air quality sensor measurement,2024/05/28,3,toulouse,"[1.44, 43.6]",NO2,µg/m3,7.34
1938,air quality sensor measurement,2024/05/24,22,toulouse,"[1.44, 43.6]",NO2,µg/m3,7.69
1939,air quality sensor measurement,2024/05/29,1,lille,"[3.06, 50.63]",O3,µg/m3,9.91
1940,air quality sensor measurement,2024/05/26,20,marseille,"[5.37, 43.3]",PM2.5,µg/m3,8.39
1941,air quality sensor measurement,2024/05/25,1,brest,"[4.49, 48.39]",CO,mg/m3,9.61
1942,air quality sensor measurement,2024/05/29,15,brest,"[4.49, 48.39]",NO2,µg/m3,1.75
1943,air quality sensor measurement,2024/06/01,6,lille,"[3.06, 50.63]",CO,mg/m3,3.7
1944,air quality sensor measurement,2024/05/31,23,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,7.12
1945,air quality sensor measurement,2024/05/25,9,marseille,"[5.37, 43.3]",NO2,µg/m3,7.07
1946,air quality sensor measurement,2024/05/24,2,brest,"[4.49, 48.39]",O3,µg/m3,5.02
1947,air quality sensor measurement,2024/06/02,22,strasbourg,"[7.75, 48.57]",CO,mg/m3,0.28
1948,air quality sensor measurement,2024/05/29,8,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,4.81
1949,air quality sensor measurement,2024/05/25,2,marseille,"[5.37, 43.3]",NO2,µg/m3,7.44
1950,air quality sensor measurement,2024/05/28,12,toulouse,"[1.44, 43.6]",O3,µg/m3,5.81
1951,air quality sensor measurement,2024/05/26,13,strasbourg,"[7.75, 48.57]",CO,mg/m3,1.78
1952,air quality sensor measurement,2024/05/25,8,toulouse,"[1.44, 43.6]",PM10,µg/m3,2.78
1953,air quality sensor measurement,2024/05/31,20,toulouse,"[1.44, 43.6]",NO2,µg/m3,7.98
1954,air quality sensor measurement,2024/05/29,3,lille,"[3.06, 50.63]",CO,mg/m3,8.34
1955,air quality sensor measurement,2024/05/31,12,lille,"[3.06, 50.63]",PM2.5,µg/m3,4.63
1956,air quality sensor measurement,2024/06/02,7,toulouse,"[1.44, 43.6]",PM10,µg/m3,5.91
1957,air quality sensor measurement,2024/05/31,13,brest,"[4.49, 48.39]",CO,mg/m3,2.78
1958,air quality sensor measurement,2024/05/24,16,toulouse,"[1.44, 43.6]",O3,µg/m3,7.21
1959,air quality sensor measurement,2024/06/02,15,toulouse,"[1.44, 43.6]",CO,mg/m3,0.89
1960,air quality sensor measurement,2024/06/02,13,marseille,"[5.37, 43.3]",CO,mg/m3,7.89
1961,air quality sensor measurement,2024/05/24,13,marseille,"[5.37, 43.3]",PM2.5,µg/m3,1.99
1962,air quality sensor measurement,2024/05/26,2,strasbourg,"[7.75, 48.57]",NO2,µg/m3,9.51
1963,air quality sensor measurement,2024/05/28,10,marseille,"[5.37, 43.3]",PM10,µg/m3,2.36
1964,air quality sensor measurement,2024/05/25,4,strasbourg,"[7.75, 48.57]",O3,µg/m3,2.51
1965,air quality sensor measurement,2024/05/28,1,brest,"[4.49, 48.39]",NO2,µg/m3,3.39
1966,air quality sensor measurement,2024/05/31,12,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,3.48
1967,air quality sensor measurement,2024/05/30,9,lille,"[3.06, 50.63]",PM10,µg/m3,3.7
1968,air quality sensor measurement,2024/06/02,18,brest,"[4.49, 48.39]",O3,µg/m3,0.51
1969,air quality sensor measurement,2024/05/30,10,toulouse,"[1.44, 43.6]",CO,mg/m3,6.69
1970,air quality sensor measurement,2024/05/25,13,lille,"[3.06, 50.63]",PM2.5,µg/m3,4.3
1971,air quality sensor measurement,2024/05/30,11,brest,"[4.49, 48.39]",PM10,µg/m3,3.9
1972,air quality sensor measurement,2024/05/26,22,brest,"[4.49, 48.39]",O3,µg/m3,8.52
1973,air quality sensor measurement,2024/05/28,10,toulouse,"[1.44, 43.6]",NO2,µg/m3,2.64
1974,air quality sensor measurement,2024/05/28,7,brest,"[4.49, 48.39]",PM10,µg/m3,7.85
1975,air quality sensor measurement,2024/05/30,6,toulouse,"[1.44, 43.6]",CO,mg/m3,3.93
1976,air quality sensor measurement,2024/05/26,9,toulouse,"[1.44, 43.6]",NO2,µg/m3,7.07
1977,air quality sensor measurement,2024/05/31,14,brest,"[4.49, 48.39]",PM10,µg/m3,6.41
1978,air quality sensor measurement,2024/05/24,23,toulouse,"[1.44, 43.6]",PM10,µg/m3,3.72
1979,air quality sensor measurement,2024/05/26,6,toulouse,"[1.44, 43.6]",O3,µg/m3,9.73
1980,air quality sensor measurement,2024/05/26,7,lille,"[3.06, 50.63]",PM2.5,µg/m3,5.02
1981,air quality sensor measurement,2024/06/02,10,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,2.54
1982,air quality sensor measurement,2024/06/01,20,brest,"[4.49, 48.39]",O3,µg/m3,8.3
1983,air quality sensor measurement,2024/05/29,22,strasbourg,"[7.75, 48.57]",PM10,µg/m3,8.2
1984,air quality sensor measurement,2024/05/30,5,marseille,"[5.37, 43.3]",PM2.5,µg/m3,2.23
1985,air quality sensor measurement,2024/05/24,3,brest,"[4.49, 48.39]",PM2.5,µg/m3,1.06
1986,air quality sensor measurement,2024/06/01,5,brest,"[4.49, 48.39]",CO,mg/m3,0.91
1987,air quality sensor measurement,2024/05/24,11,toulouse,"[1.44, 43.6]",PM10,µg/m3,9.87
1988,air quality sensor measurement,2024/05/27,17,brest,"[4.49, 48.39]",PM2.5,µg/m3,8.67
1989,air quality sensor measurement,2024/05/26,5,strasbourg,"[7.75, 48.57]",NO2,µg/m3,8.8
1990,air quality sensor measurement,2024/05/29,22,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,8.2
1991,air quality sensor measurement,2024/05/27,0,lille,"[3.06, 50.63]",PM10,µg/m3,7.44
1992,air quality sensor measurement,2024/05/31,22,lille,"[3.06, 50.63]",O3,µg/m3,8.44
1993,air quality sensor measurement,2024/06/02,2,brest,"[4.49, 48.39]",PM2.5,µg/m3,2.43
1994,air quality sensor measurement,2024/05/27,4,toulouse,"[1.44, 43.6]",PM10,µg/m3,1.8
1995,air quality sensor measurement,2024/05/27,0,lille,"[3.06, 50.63]",CO,mg/m3,1.94
1996,air quality sensor measurement,2024/06/02,6,lille,"[3.06, 50.63]",NO2,µg/m3,7.85
1997,air quality sensor measurement,2024/05/29,18,toulouse,"[1.44, 43.6]",PM10,µg/m3,1.05
1998,air quality sensor measurement,2024/05/31,20,strasbourg,"[7.75, 48.57]",CO,mg/m3,8.86
1999,air quality sensor measurement,2024/05/25,9,brest,"[4.49, 48.39]",O3,µg/m3,3.48
2000,air quality sensor measurement,2024/05/28,3,lille,"[3.06, 50.63]",CO,mg/m3,7.73
2001,air quality sensor measurement,2024/05/25,11,brest,"[4.49, 48.39]",PM2.5,µg/m3,2.67
2002,air quality sensor measurement,2024/05/31,19,strasbourg,"[7.75, 48.57]",NO2,µg/m3,4.45
2003,air quality sensor measurement,2024/05/28,11,brest,"[4.49, 48.39]",PM10,µg/m3,8.64
2004,air quality sensor measurement,2024/05/31,22,lille,"[3.06, 50.63]",CO,mg/m3,3.44
2005,air quality sensor measurement,2024/05/30,22,toulouse,"[1.44, 43.6]",O3,µg/m3,8.06
2006,air quality sensor measurement,2024/05/29,23,brest,"[4.49, 48.39]",NO2,µg/m3,4.03
2007,air quality sensor measurement,2024/05/24,14,marseille,"[5.37, 43.3]",NO2,µg/m3,4.85
